group,rank,gene,score,p_value,p_value_adj_BH,mean_logcounts_group,mean_logcounts_rest,mean_log2_expression_difference,pct_cells_expressing_group,pct_cells_expressing_rest,n_cells_group,n_cells_rest,is_mitochondrial,is_ribosomal
B cell,1,CD79A,648.8556353163272,0.0,0.0,2.8472795726043643,0.0211928949389437,4.0771812349902685,98.06220923526472,1.7700343341368985,26009,547560,False,False
B cell,2,CD74,608.5779838687829,0.0,0.0,4.732251157514127,1.5624574151159276,4.57304571279875,99.95386212464916,65.07560815253123,26009,547560,False,False
B cell,3,HLA-DRA,560.8325557677689,0.0,0.0,3.796099547470943,0.6959727614606107,4.472537540304146,98.43900188396324,26.267623639418517,26009,547560,False,False
B cell,4,HLA-DPA1,433.803138555412,0.0,0.0,2.9401370803334377,0.7991986407867213,3.088721269582604,98.23138144488446,37.91383592665644,26009,547560,False,False
B cell,5,HLA-DRB1,423.1480868587213,0.0,0.0,3.080817464676063,0.7704485597948565,3.3331577616961825,98.10834711061555,32.941778069983194,26009,547560,False,False
B cell,6,HLA-DPB1,406.3330571690671,0.0,0.0,2.990333474010663,0.8615990910897573,3.071114537609818,97.63543388826945,41.29136532982687,26009,547560,False,False
B cell,7,MS4A1,347.7700481446494,0.0,0.0,2.154424013583018,0.0344583346059738,3.058463971914985,89.02303048944596,2.5001826283877566,26009,547560,False,False
B cell,8,HLA-DQB1,325.4332842841219,0.0,0.0,2.273757491748007,0.4018270845093282,2.7006247154125,92.19116459687032,20.925012783987142,26009,547560,False,False
B cell,9,CD79B,299.2621860922072,0.0,0.0,1.823945633255452,0.1085250471246075,2.4748287726498086,87.16982582952055,8.85985097523559,26009,547560,False,False
B cell,10,HLA-DQA1,292.3485670265687,0.0,0.0,2.0356941017379,0.2746688385013769,2.540622414151513,88.42708293283094,13.328767623639418,26009,547560,False,False
B cell,11,CD37,275.51358319864937,0.0,0.0,3.0184844920285605,1.565794991244057,2.095787938733267,97.62389941943174,82.61542114106216,26009,547560,False,False
B cell,12,BANK1,255.8151651356,0.0,0.0,1.497276147038436,0.0109003175694488,2.1443870380721277,77.48087200584412,1.1953027978669004,26009,547560,False,False
B cell,13,LINC00926,236.57196859795891,0.0,0.0,1.4598867524487993,0.0039568351416393,2.1004628715809184,74.7894959437118,0.3669004310029951,26009,547560,False,False
B cell,14,IGHM,228.31042431617828,0.0,0.0,2.158167130916652,0.026427385784548,3.0754503587679896,73.94747971855897,2.0406896047921688,26009,547560,False,False
B cell,15,HLA-DMA,200.5450910441246,0.0,0.0,1.4464379589401355,0.3199805681874313,1.625134491411648,78.66507747318236,18.133903133903136,26009,547560,False,False
B cell,16,MEF2C,197.0496731828181,0.0,0.0,1.3394419241082585,0.1594568959225842,1.702358548486696,73.25925641124226,10.327635327635328,26009,547560,False,False
B cell,17,HLA-DRB5,186.2749260189256,0.0,0.0,1.691817773489397,0.3418962568004712,1.9475250777164217,75.85451189972702,17.45963912630579,26009,547560,False,False
B cell,18,RALGPS2,176.2568212946697,0.0,0.0,1.0407747766571136,0.0293665018416841,1.459153702390282,61.48256372794033,2.623639418511213,26009,547560,False,False
B cell,19,IGKC,159.2793149148506,0.0,0.0,2.3361625153020364,0.1584287876892688,3.141805649203577,64.93521473336152,10.229746511797794,26009,547560,False,False
B cell,20,HVCN1,158.11023734687723,0.0,0.0,1.0205051247374106,0.0898357789677316,1.342672049849292,59.16029066861472,7.866169917451969,26009,547560,False,False
B cell,21,HLA-DMB,155.0090680369121,0.0,0.0,1.0685171342432134,0.1955699653344879,1.2593965515426784,63.48956130570187,12.430053327489226,26009,547560,False,False
B cell,22,SNX2,154.6663904720042,0.0,0.0,1.1181510180638532,0.2764079943750664,1.214378485978694,68.04952131954323,22.382752575060263,26009,547560,False,False
B cell,23,RPS11,153.88931186973684,0.0,0.0,3.192612920126673,2.483735565529276,1.0226938440761526,98.93882886693068,94.01106728029804,26009,547560,False,True
B cell,24,RPS5,152.92740651851997,0.0,0.0,3.551328780434534,3.130358083212676,0.607332337241544,99.86543119689338,98.31324421068012,26009,547560,False,True
B cell,25,RPL8,152.29997620756666,0.0,0.0,3.8064309973652826,3.421593423482962,0.5552032593877637,99.96539659348689,99.15296953758492,26009,547560,False,True
B cell,26,NCF1,150.3742415310182,0.0,0.0,1.2883704797912447,0.4113570128365979,1.2652629795683057,72.75173978238301,27.799693184308573,26009,547560,False,False
B cell,27,RPL18A,149.88384490693295,0.0,0.0,4.242941439390845,3.890288347938321,0.5087708661927183,99.99615517705408,99.48571846007744,26009,547560,False,True
B cell,28,TNFRSF13C,149.3202905621494,0.0,0.0,0.8317599375511034,0.0156581398484986,1.1773860164061158,51.29378292129647,1.4002118489297977,26009,547560,False,False
